EmployeeID,CurrentSkill,ProficiencyLevel,ProjectSkillRequired,Gap,GapBinary
E0,DATA ANALYSIS,Beginner,PYTHON,No,0
E1,SQL,Beginner,PYTHON,No,0
E2,EXCEL,Intermediate,JAVA,No,0
E3,JAVA,Advanced,SQL,Yes,1
E4,DATA ANALYSIS,Beginner,JAVA,No,0
E5,PYTHON,Beginner,ML,No,0
E6,EXCEL,Intermediate,PYTHON,Yes,1
E7,DATA ANALYSIS,Beginner,ML,Yes,1
E8,PYTHON,Advanced,ML,Yes,1
E9,PYTHON,Beginner,PYTHON,No,0
E10,EXCEL,Intermediate,JAVA,Yes,1
E11,SQL,Advanced,JAVA,No,0
E12,ML,Beginner,SQL,No,0
E13,DATA ANALYSIS,Intermediate,SQL,No,0
E14,JAVA,Intermediate,ML,No,0
E15,JAVA,Beginner,SQL,No,0
E16,JAVA,Advanced,ML,Yes,1
E17,DATA ANALYSIS,Advanced,ML,Yes,1
E18,ML,Beginner,JAVA,No,0
E19,ML,Beginner,ML,Yes,1
E20,SQL,Intermediate,PYTHON,No,0
E21,DATA ANALYSIS,Advanced,JAVA,No,0
E22,ML,Advanced,PYTHON,Yes,1
E23,PYTHON,Advanced,SQL,No,0
E24,EXCEL,Advanced,JAVA,Yes,1
E25,ML,Beginner,PYTHON,Yes,1
E26,DATA ANALYSIS,Advanced,JAVA,No,0
E27,EXCEL,Advanced,SQL,Yes,1
E28,SQL,Intermediate,SQL,Yes,1
E29,SQL,Intermediate,SQL,No,0
E30,ML,Advanced,SQL,Yes,1
E31,EXCEL,Beginner,ML,No,0
E32,JAVA,Advanced,JAVA,No,0
E33,PYTHON,Advanced,JAVA,Yes,1
E34,EXCEL,Advanced,ML,No,0
E35,ML,Advanced,ML,Yes,1
E36,PYTHON,Intermediate,JAVA,No,0
E37,DATA ANALYSIS,Intermediate,JAVA,No,0
E38,SQL,Intermediate,PYTHON,No,0
E39,EXCEL,Beginner,PYTHON,No,0
E40,SQL,Intermediate,PYTHON,Yes,1
E41,ML,Beginner,ML,Yes,1
E42,ML,Beginner,SQL,No,0
E43,PYTHON,Advanced,PYTHON,Yes,1
E44,EXCEL,Intermediate,ML,Yes,1
E45,DATA ANALYSIS,Beginner,SQL,No,0
E46,JAVA,Advanced,SQL,Yes,1
E47,DATA ANALYSIS,Advanced,SQL,Yes,1
E48,SQL,Intermediate,JAVA,No,0
E49,SQL,Advanced,SQL,No,0
E50,EXCEL,Intermediate,SQL,No,0
E51,PYTHON,Advanced,ML,No,0
E52,EXCEL,Advanced,SQL,No,0
E53,DATA ANALYSIS,Beginner,ML,No,0
E54,DATA ANALYSIS,Advanced,ML,No,0
E55,SQL,Advanced,ML,No,0
E56,ML,Intermediate,SQL,No,0
E57,SQL,Advanced,SQL,Yes,1
E58,PYTHON,Beginner,JAVA,No,0
E59,SQL,Advanced,PYTHON,No,0
E60,ML,Beginner,PYTHON,No,0
E61,EXCEL,Advanced,JAVA,No,0
E62,PYTHON,Advanced,JAVA,Yes,1
E63,PYTHON,Advanced,ML,No,0
E64,ML,Advanced,ML,No,0
E65,PYTHON,Advanced,SQL,No,0
E66,EXCEL,Beginner,ML,No,0
E67,EXCEL,Beginner,SQL,No,0
E68,PYTHON,Intermediate,SQL,Yes,1
E69,SQL,Advanced,PYTHON,Yes,1
E70,ML,Beginner,JAVA,No,0
E71,EXCEL,Intermediate,JAVA,Yes,1
E72,PYTHON,Advanced,PYTHON,No,0
E73,EXCEL,Beginner,PYTHON,Yes,1
E74,DATA ANALYSIS,Intermediate,JAVA,No,0
E75,SQL,Advanced,PYTHON,No,0
E76,SQL,Beginner,ML,No,0
E77,ML,Advanced,SQL,No,0
E78,JAVA,Beginner,ML,Yes,1
E79,SQL,Advanced,PYTHON,Yes,1
E80,JAVA,Intermediate,JAVA,Yes,1
E81,EXCEL,Advanced,JAVA,No,0
E82,ML,Beginner,JAVA,Yes,1
E83,JAVA,Advanced,SQL,Yes,1
E84,EXCEL,Advanced,JAVA,No,0
E85,DATA ANALYSIS,Intermediate,SQL,No,0
E86,ML,Intermediate,ML,Yes,1
E87,PYTHON,Intermediate,JAVA,Yes,1
E88,JAVA,Beginner,PYTHON,No,0
E89,DATA ANALYSIS,Beginner,SQL,No,0
E90,DATA ANALYSIS,Advanced,SQL,No,0
